title,description,department
Password manager enterprise deployment [TKT-5102],IT is deploying an enterprise password manager to all employees and needs to schedule training sessions for each department to ensure adoption.,IT Support
Charitable donation tax deduction query [TKT-5395],Company made a donation to a registered charity last month. Finance needs to confirm the correct tax deduction section under which to claim the exemption.,Finance
SharePoint site permission error [TKT-5361],Employee is getting an access denied error when trying to open a SharePoint site that they were recently granted access to. Permissions appear to be set correctly.,IT Support
Asset impairment review required [TKT-5541],One of the company's major assets may have declined in value due to market changes. An impairment review and possible write-down needs to be initiated.,Finance
Material handling equipment breakdown,The conveyor belt system in the packaging area has broken down. Manual handling is being used temporarily but is slower and creating a backlog.,Operations
Regional office closure decision [TKT-5187],Declining business in one regional office makes it economically unviable to continue operating. Manager is presenting closure options and financial implications.,Manager
Shipping insurance claim not processed [TKT-5634],Customer paid for shipping insurance on a high-value item that was lost in transit. The insurance claim filed 3 weeks ago has not been processed.,Customer Support
Regulatory filing deadline extension request,"Due to extraordinary circumstances, the company needs to request a filing extension from the regulator. Management authorization for the extension request is needed.",Manager
Intranet page returning error 500 [TKT-5660],"The company intranet homepage is showing an internal server error for all users. This is preventing employees from accessing news, policies and HR resources.",IT Support
Teams meeting recording not available [TKT-5124],A recorded Teams meeting from last week is not appearing in the meeting chat or in the employee's OneDrive recordings folder. Recording was confirmed during the call.,IT Support
Order shows delivered but not received [TKT-5241],Customer's order status changed to delivered but the package was not found at the delivery address. Neighbors were checked and no package was left with them either.,Customer Support
Internal loan between subsidiaries [TKT-5159],Parent company needs to provide an internal loan to a subsidiary to fund working capital. Finance needs to prepare the intercompany loan documentation.,Finance
Approval for conference sponsorship [TKT-5492],"Marketing team has an opportunity to sponsor an industry conference for brand visibility. Requesting management approval for INR 1,50,000 sponsorship budget.",Manager
Brand ambassador program launch [TKT-5546],Marketing has proposed an employee brand ambassador program for social media. Requesting management approval and guidelines before inviting employees to participate.,Manager
Multi-factor authentication app switch [TKT-5096],IT is migrating all users from one authenticator app to another and needs to coordinate the transition with all employees to avoid login disruptions.,IT Support
Candidate rejection communication,HR needs to send formal rejection notifications to 12 candidates who were interviewed for a position that has now been filled internally.,HR
Statutory payment confirmation needed [TKT-5527],Finance team needs written confirmation from the bank that a statutory payment to the government authority was processed successfully and on time.,Finance
Inventory barcode scanner not reading [TKT-5041],The barcode scanner used in the warehouse for inventory tracking is not reading barcodes correctly. This is causing inventory count errors and dispatch delays.,Operations
Production target not met this quarter,Operations failed to meet the quarterly production target by 12 percent. A report on contributing factors and corrective measures is needed for the management review.,Operations
Cold storage temperature alarm [TKT-5203],The cold storage unit for perishable inventory triggered a temperature alarm overnight. Stock may be compromised. Immediate assessment is needed.,Operations
Product recall notification not received [TKT-5593],Customer read in the news about a recall of a product they purchased from this platform but did not receive any recall notification from the company.,Customer Support
Moonlighting policy clarification [TKT-5115],An employee has asked HR for clarification on whether they are permitted to take on freelance work outside of office hours under the current employment contract.,HR
Bluetooth keyboard pairing issue [TKT-5092],Employee received a Bluetooth keyboard as part of a hardware refresh but it cannot be paired with their laptop. Multiple attempts have been unsuccessful.,IT Support
Corporate Wi-Fi not connecting on new device [TKT-5443],A newly issued tablet cannot connect to the corporate wireless network. The device can see the network but authentication fails repeatedly.,IT Support
Complaint about misleading advertisement [TKT-5110],Customer purchased a product based on an advertisement that showed features not present in the actual product. Requesting refund and ad retraction.,Customer Support
Product recall notification not received [TKT-5553],Customer read in the news about a recall of a product they purchased from this platform but did not receive any recall notification from the company.,Customer Support
Customer advance receipt accounting [TKT-5077],Sales team received a large advance payment from a new customer. Finance needs guidance on how to record and report this in the financial statements.,Finance
Project invoice raised to wrong client [TKT-5043],Finance team discovered that an invoice was raised to Client A for work done for Client B. Correction and reissuance needed before payment is received.,Finance
Cybersecurity incident report filing [TKT-5599],"Following a phishing attack that compromised one employee account, IT needs to complete the mandatory cybersecurity incident report for the compliance team.",IT Support
Sabbatical leave request [TKT-5606],A long-serving employee is requesting a 3-month unpaid sabbatical leave for personal development purposes. Policy allows this after 7 years of service.,HR
IP address conflict on network [TKT-5298],Two devices on the local network have been assigned the same static IP address causing intermittent connectivity loss for both. DHCP configuration review needed.,IT Support
Promotion announcement communication [TKT-5056],Three employees have been promoted and HR needs to coordinate with their managers to send formal announcement communications to their respective teams.,HR
Logistics software system error [TKT-5057],The logistics management software is displaying incorrect vehicle tracking information. Dispatch team is unable to monitor delivery status in real time.,Operations
Regional office closure decision [TKT-5267],Declining business in one regional office makes it economically unviable to continue operating. Manager is presenting closure options and financial implications.,Manager
New hire pre-employment health check [TKT-5464],Two new employees joining next month need pre-employment medical examinations as required for their specific roles. Appointments need to be scheduled.,HR
Third-party audit finding response plan [TKT-5206],External audit identified control gaps in the department's processes. Manager is requesting time to present the corrective action plan to senior leadership.,Manager
Email newsletter has broken images [TKT-5221],Customer receives the weekly newsletter but all images are broken and only image placeholder icons are visible. Text content is readable.,Customer Support
Partial order delivered [TKT-5242],Customer received only 2 out of 4 items ordered. The packing slip inside shows all 4 items but only 2 were physically in the box.,Customer Support
Vendor payment on credit hold [TKT-5264],Procurement placed a vendor on credit hold due to quality issues. Finance needs to confirm whether pending invoices from this vendor should still be paid.,Finance
Product listing shows wrong specifications [TKT-5411],Customer purchased a laptop based on the listed specifications but the delivered product has a lower RAM configuration than what was advertised online.,Customer Support
Audit committee presentation preparation [TKT-5240],"Finance is preparing the quarterly presentation for the audit committee covering financial performance, risk areas and compliance status for review.",Finance
Product photo submission not credited [TKT-5200],Customer submitted a product photo for the community gallery as part of a rewards program but did not receive the promised credit points.,Customer Support
Production planning data not updated [TKT-5583],The production planning team's data in the ERP system has not been updated with this week's actual production figures. Reports are showing stale data.,Operations
Customer charged after free trial,Customer signed up for a free trial and claims they cancelled before the trial ended but was still charged for the first month of the paid plan.,Customer Support
API access token expired [TKT-5051],A developer's API access token for an internal service has expired. Requests are returning 401 unauthorized errors and token renewal process is unclear.,IT Support
Shipping insurance claim not processed [TKT-5194],Customer paid for shipping insurance on a high-value item that was lost in transit. The insurance claim filed 3 weeks ago has not been processed.,Customer Support
Work order system not updating status [TKT-5605],Maintenance work orders completed by technicians are not updating to completed status in the system. Manual tracking is creating reporting inaccuracies.,Operations
Teams meeting recording not available [TKT-5404],A recorded Teams meeting from last week is not appearing in the meeting chat or in the employee's OneDrive recordings folder. Recording was confirmed during the call.,IT Support
Bulk order pricing not applied [TKT-5277],Customer placed an order for 50 units expecting bulk pricing as advertised on the website but was charged the standard per-unit price.,Customer Support
Mobile device remotely wiped incorrectly [TKT-5588],An employee's company phone was remotely wiped by IT due to a mistaken identity during a theft response. Device is now blank and data is lost.,IT Support
Attrition rate increase investigation [TKT-5581],Attrition in the technology department has increased to 28 percent in the last 6 months. HR is initiating an investigation including exit interview analysis.,HR
Quarterly goals review and reset [TKT-5584],Mid-year review shows some departmental goals are no longer achievable due to market changes. Requesting management approval to reset two specific team targets.,Manager
Intranet page returning error 500 [TKT-5380],"The company intranet homepage is showing an internal server error for all users. This is preventing employees from accessing news, policies and HR resources.",IT Support
Staff augmentation request [TKT-5090],A department experiencing a temporary workload spike is requesting 4 contract staff for a 2-month period to manage project delivery without permanent headcount.,HR
Shipping insurance claim not processed [TKT-5554],Customer paid for shipping insurance on a high-value item that was lost in transit. The insurance claim filed 3 weeks ago has not been processed.,Customer Support
Recall management coordination [TKT-5475],"Quality team has initiated a product recall affecting 3,000 units. Operations must coordinate the logistics of collecting, tracking and disposing of recalled goods.",Operations
Company social event planning [TKT-5460],"HR is planning the annual company social event and needs to confirm the budget, venue, date and activity options with management before sending invites.",HR
Competency framework rollout [TKT-5369],HR is rolling out a new competency framework across the organization and needs department heads to map their team roles to the new competency levels.,HR
Counterfeit product suspected [TKT-5227],Customer suspects the branded product they received is counterfeit based on poor print quality on the packaging and slight differences in product appearance.,Customer Support
Approval for crisis communication plan [TKT-5511],Reputational risk team has prepared a crisis communication playbook. Requesting senior management review and approval for it to be adopted as official policy.,Manager
Unable to update payment method [TKT-5207],Customer is trying to add a new credit card to their account but the payment section keeps showing a loading spinner without saving the card.,Customer Support
Foreign vendor payment blocked by bank [TKT-5215],An international wire transfer to a foreign vendor was blocked by the bank citing regulatory compliance review. Vendor is waiting for urgent payment.,Finance
Prepaid expense amortization schedule error [TKT-5536],The prepaid expense amortization schedule has an error in the monthly amounts due to a formula mistake. All future months need to be recalculated.,Finance
Store credit not applied at checkout [TKT-5494],Customer has store credit in their account but the option to apply it during checkout is not visible. Credit shows correctly on the account page.,Customer Support
Customer advance receipt accounting [TKT-5357],Sales team received a large advance payment from a new customer. Finance needs guidance on how to record and report this in the financial statements.,Finance
Multi-factor authentication app switch [TKT-5616],IT is migrating all users from one authenticator app to another and needs to coordinate the transition with all employees to avoid login disruptions.,IT Support
Advance payment to new supplier query [TKT-5313],Procurement is asking whether Finance can make a partial advance payment to a new supplier before the purchase order is formally approved.,Finance
Complaint about misleading advertisement,Customer purchased a product based on an advertisement that showed features not present in the actual product. Requesting refund and ad retraction.,Customer Support
Cross-border payroll compliance query [TKT-5519],An employee who has been working from another country for 6 months has raised questions about cross-border payroll tax and social security implications.,HR
Contract manufacturer capacity shortage [TKT-5338],The contract manufacturer has informed that they cannot meet the agreed monthly production volumes due to their own capacity constraints.,Operations
Digital HR system migration [TKT-5414],HR is migrating from the legacy HR system to a new cloud-based platform. Employee data validation and testing are required before the go-live date.,HR
Approval to promote from within [TKT-5447],Manager recommending an internal candidate for a senior position rather than external hiring. Requesting approval to fast-track the internal promotion process.,Manager
Payroll tax filing error discovered [TKT-5219],"After filing the quarterly payroll tax return, an error was discovered in the taxable wages reported. An amended return needs to be filed promptly.",Finance
Cybersecurity incident report filing [TKT-5199],"Following a phishing attack that compromised one employee account, IT needs to complete the mandatory cybersecurity incident report for the compliance team.",IT Support
Product assembly instructions unclear [TKT-5175],Customer received a self-assembly furniture item but the printed instructions are unclear and diagrams are too small to follow. Requesting detailed guide.,Customer Support
Technology adoption roadmap review [TKT-5662],IT and operations managers are requesting a management review of the 3-year technology adoption roadmap to ensure it aligns with the revised business strategy.,Manager
Cybersecurity incident report filing [TKT-5479],"Following a phishing attack that compromised one employee account, IT needs to complete the mandatory cybersecurity incident report for the compliance team.",IT Support
Statutory payment confirmation needed [TKT-5567],Finance team needs written confirmation from the bank that a statutory payment to the government authority was processed successfully and on time.,Finance
Technology adoption roadmap review,IT and operations managers are requesting a management review of the 3-year technology adoption roadmap to ensure it aligns with the revised business strategy.,Manager
Complaint about product environmental impact [TKT-5076],Customer wants to raise a concern about non-recyclable packaging used for a product they ordered and is requesting the company's sustainability policy.,Customer Support
Dispatch schedule not coordinated with production [TKT-5246],Operations team is dispatching goods before the production quality check is completed. This coordination gap has resulted in customer complaints about quality.,Operations
Product listing shows wrong specifications [TKT-5371],Customer purchased a laptop based on the listed specifications but the delivered product has a lower RAM configuration than what was advertised online.,Customer Support
Merger due diligence team formation [TKT-5238],"Following a board decision to explore a potential acquisition, management needs to form an internal due diligence team from finance, legal, HR and operations.",Manager
Revenue deferral calculation for subscription [TKT-5623],Company sells annual subscriptions and needs guidance on how to correctly defer and recognize revenue on a monthly basis for accounting purposes.,Finance
Cybersecurity incident report filing [TKT-5079],"Following a phishing attack that compromised one employee account, IT needs to complete the mandatory cybersecurity incident report for the compliance team.",IT Support
Approval for overtime during critical period [TKT-5378],"Due to an unexpected surge in demand, manager is requesting pre-approval for overtime work for the entire team for the next three weekends.",Manager
Technology adoption roadmap review [TKT-5502],IT and operations managers are requesting a management review of the 3-year technology adoption roadmap to ensure it aligns with the revised business strategy.,Manager
Skill gap analysis for department [TKT-5057],HR is conducting a skill gap analysis for the engineering department to identify training priorities and inform the next year's learning and development budget.,HR
Invoice processing automation failing,An automated workflow that processes and routes vendor invoices for approval has stopped functioning. Invoices are piling up and vendor payments are at risk.,IT Support
Statutory payment confirmation needed [TKT-5367],Finance team needs written confirmation from the bank that a statutory payment to the government authority was processed successfully and on time.,Finance
Cross-platform file compatibility issue [TKT-5520],A document created on a Mac is displaying formatting errors when opened on Windows. The issue is affecting collaboration between Mac and PC users.,IT Support
Loyalty tier downgraded incorrectly [TKT-5279],Customer was downgraded from Gold to Silver membership tier even though they did not fall below the spending threshold required to maintain Gold status.,Customer Support
Password manager enterprise deployment [TKT-5462],IT is deploying an enterprise password manager to all employees and needs to schedule training sessions for each department to ensure adoption.,IT Support
Cybersecurity incident report filing [TKT-5119],"Following a phishing attack that compromised one employee account, IT needs to complete the mandatory cybersecurity incident report for the compliance team.",IT Support
Medical reimbursement documents rejected [TKT-5041],Employee's medical reimbursement claim was rejected citing incomplete documentation even though all required documents listed in the policy were submitted.,Finance
Product assembly instructions unclear [TKT-5655],Customer received a self-assembly furniture item but the printed instructions are unclear and diagrams are too small to follow. Requesting detailed guide.,Customer Support
Subscription billing date changed without notice,Customer's billing date shifted from the 5th to the 18th of the month without any communication. This has caused budgeting inconvenience.,Customer Support
Apprenticeship program enrollment [TKT-5604],Two school leavers have been selected for the company's apprenticeship program. HR needs to complete their enrollment and arrange their first-week schedule.,HR
Product photo submission not credited [TKT-5320],Customer submitted a product photo for the community gallery as part of a rewards program but did not receive the promised credit points.,Customer Support
Approval for project scope change [TKT-5610],Project requirements have changed significantly due to client feedback. Manager is requesting formal approval for the amended scope before work resumes.,Manager
Customs clearance delay for imported goods [TKT-5484],A shipment of imported raw materials has been held at customs for 8 days. Agent reports documentation issues. Production schedule is at risk.,Operations
Cold storage temperature alarm [TKT-5163],The cold storage unit for perishable inventory triggered a temperature alarm overnight. Stock may be compromised. Immediate assessment is needed.,Operations
Staff welfare expense approval [TKT-5178],"Department is requesting finance approval for INR 12,000 in staff welfare expenses for a team celebration following the successful project completion.",Finance
Damaged product on arrival [TKT-5243],Product arrived with a cracked casing and dented corners. Packaging appeared intact suggesting the damage occurred during manufacturing or packing.,Customer Support
Graduate trainee program assessment [TKT-5560],The 12-month graduate trainee program is coming to an end and HR needs to coordinate the final assessments and conversion offers for the successful trainees.,HR
Overtime authorization for production target,Production team is requesting pre-authorized overtime for the next two weeks to meet a large customer order that was placed on short notice.,Operations
Competency framework rollout [TKT-5129],HR is rolling out a new competency framework across the organization and needs department heads to map their team roles to the new competency levels.,HR
Unpaid leave impact on benefits [TKT-5302],"Employee planning to take unpaid leave for 3 months wants to understand the impact on their health insurance, PF contributions and annual leave accrual.",HR
Technology adoption roadmap review [TKT-5462],IT and operations managers are requesting a management review of the 3-year technology adoption roadmap to ensure it aligns with the revised business strategy.,Manager
Account showing wrong membership tier [TKT-5422],Customer's account displays a Silver membership tier but they believe they have accumulated enough points to qualify for Gold status.,Customer Support
Email newsletter has broken images [TKT-5341],Customer receives the weekly newsletter but all images are broken and only image placeholder icons are visible. Text content is readable.,Customer Support
Foreign vendor payment blocked by bank [TKT-5175],An international wire transfer to a foreign vendor was blocked by the bank citing regulatory compliance review. Vendor is waiting for urgent payment.,Finance
Product assembly instructions unclear [TKT-5415],Customer received a self-assembly furniture item but the printed instructions are unclear and diagrams are too small to follow. Requesting detailed guide.,Customer Support
Subscription not reflecting after payment [TKT-5089],Customer paid for a premium subscription upgrade but the account still shows free tier status. Payment confirmation email was received.,Customer Support
Cold storage temperature alarm [TKT-5403],The cold storage unit for perishable inventory triggered a temperature alarm overnight. Stock may be compromised. Immediate assessment is needed.,Operations
Year-end performance rating distribution [TKT-5518],HR is reviewing the distribution of year-end performance ratings across departments to ensure consistency and fairness before ratings are communicated to employees.,HR
Goods returned by customer quality check [TKT-5615],A batch of goods was returned by a major customer citing quality defects. Operations needs to inspect the batch and initiate a root cause analysis.,Operations
SharePoint site permission error [TKT-5481],Employee is getting an access denied error when trying to open a SharePoint site that they were recently granted access to. Permissions appear to be set correctly.,IT Support
Partial order delivered,Customer received only 2 out of 4 items ordered. The packing slip inside shows all 4 items but only 2 were physically in the box.,Customer Support
Succession plan for key departing employee [TKT-5453],A key technical employee has submitted their resignation. Manager is requesting immediate support to identify and develop a succession candidate.,Manager
Vendor payment on credit hold [TKT-5304],Procurement placed a vendor on credit hold due to quality issues. Finance needs to confirm whether pending invoices from this vendor should still be paid.,Finance
Vendor lead time increased unexpectedly [TKT-5307],Key vendor has informed that their standard lead time is increasing from 2 weeks to 6 weeks due to supply chain issues. Production planning needs to be adjusted.,Operations
Order delivery window too wide [TKT-5588],Customer was given a delivery window of 9 AM to 9 PM which required them to stay home all day. Requesting more precise delivery time slots.,Customer Support
Overdraft fee charged on company account [TKT-5285],Company's current account was charged an overdraft fee this month. Finance team needs to investigate the reason and ensure it does not recur.,Finance
Time tracking system not recording correctly [TKT-5664],Employee's time entries in the project time tracking system are not being saved. The form submits successfully but entries disappear after page refresh.,IT Support
Diversity recruitment target progress [TKT-5636],HR is reviewing progress against diversity hiring targets for the year and preparing a report for the DEI committee meeting scheduled for next month.,HR
Large file transfer solution needed [TKT-5065],An employee needs to send a 4GB project file to an external partner. Email is not suitable and a secure large file transfer solution is required.,IT Support
Customer contract profitability review [TKT-5461],Finance analysis shows a major customer contract is operating at below target margins. Requesting management strategy session to decide on renegotiation approach.,Manager
Legacy data migration from old server [TKT-5391],An old physical server being decommissioned holds 5 years of archived project data. All data must be migrated to the new storage system before shutdown.,IT Support
Accounting software login not working [TKT-5524],Finance team member is unable to log into the accounting software since their password was reset. IT-generated temporary password is also not working.,Finance
Intranet page returning error 500 [TKT-5100],"The company intranet homepage is showing an internal server error for all users. This is preventing employees from accessing news, policies and HR resources.",IT Support
Unable to download purchase history [TKT-5631],Customer is trying to download their complete purchase history as a PDF for tax purposes but the download button is not functioning.,Customer Support
Staff welfare expense approval [TKT-5458],"Department is requesting finance approval for INR 12,000 in staff welfare expenses for a team celebration following the successful project completion.",Finance
Internal loan between subsidiaries [TKT-5399],Parent company needs to provide an internal loan to a subsidiary to fund working capital. Finance needs to prepare the intercompany loan documentation.,Finance
Dispatch schedule not coordinated with production,Operations team is dispatching goods before the production quality check is completed. This coordination gap has resulted in customer complaints about quality.,Operations
Product stopped working after 2 days [TKT-5084],A newly purchased electronic item functioned for two days and then stopped working completely. No physical damage and used as per instructions.,Customer Support
Inbound inspection backlog [TKT-5596],The incoming goods inspection team has a backlog of 3 days worth of shipments waiting to be inspected. Production is being delayed as a result.,Operations
Wi-Fi dead zones in office [TKT-5434],Employees in the northwest corner of the 4th floor consistently experience poor or no Wi-Fi connectivity. Additional access points may need to be installed.,IT Support
Domain name renewal lapse risk,IT administrator flagged that two company domain names are due for renewal in 8 days. Previous renewal was missed causing a brief website outage.,IT Support
Cross-platform file compatibility issue [TKT-5360],A document created on a Mac is displaying formatting errors when opened on Windows. The issue is affecting collaboration between Mac and PC users.,IT Support
Dispatch schedule not coordinated with production [TKT-5606],Operations team is dispatching goods before the production quality check is completed. This coordination gap has resulted in customer complaints about quality.,Operations
New employee orientation session scheduling,"Five new employees are joining next week and their orientation sessions, including office tours, policy briefings and team introductions, need to be scheduled.",HR
HR helpdesk response time complaint,Employees are complaining that HR queries submitted through the internal helpdesk are taking more than 5 days to receive a response. Escalation needed.,HR
Approval for overtime during critical period [TKT-5178],"Due to an unexpected surge in demand, manager is requesting pre-approval for overtime work for the entire team for the next three weekends.",Manager
Referral link not generating discount [TKT-5453],Customer shared their referral link with friends who signed up but neither the customer nor their friends received the promised referral discount.,Customer Support
Tool crib inventory discrepancy [TKT-5428],The tool crib inventory count does not match the system records. Several expensive tools are missing and their last checkout was not recorded.,Operations
Third-party logistics partner performance drop [TKT-5248],Delivery completion rates by the third-party logistics partner have dropped from 96 percent to 81 percent in the last month. Contract review is needed.,Operations
Forklift operator certification expired [TKT-5242],The certification for two forklift operators in the warehouse has expired. They cannot legally operate the equipment until recertification is completed.,Operations
Diversity recruitment target progress [TKT-5396],HR is reviewing progress against diversity hiring targets for the year and preparing a report for the DEI committee meeting scheduled for next month.,HR
Store credit not applied at checkout [TKT-5334],Customer has store credit in their account but the option to apply it during checkout is not visible. Credit shows correctly on the account page.,Customer Support
Subscription not reflecting after payment [TKT-5209],Customer paid for a premium subscription upgrade but the account still shows free tier status. Payment confirmation email was received.,Customer Support
Incorrect discount applied [TKT-5125],Customer was promised a 20 percent discount via a loyalty email but at checkout only a 10 percent discount was applied. Screenshot of email attached.,Customer Support
Employee self-service portal error [TKT-5078],Employees are getting errors when trying to submit IT requests through the self-service portal. The submit button is returning a form validation error.,IT Support
Investment policy compliance check [TKT-5386],CFO has requested a review of all short-term investments to ensure they comply with the board-approved investment policy and risk guidelines.,Finance
Incorrect exchange rate used in report,Monthly financial report used an exchange rate from the prior month instead of the current rate. All foreign currency figures need to be restated.,Finance
Product photo submission not credited [TKT-5640],Customer submitted a product photo for the community gallery as part of a rewards program but did not receive the promised credit points.,Customer Support
Recall management coordination [TKT-5435],"Quality team has initiated a product recall affecting 3,000 units. Operations must coordinate the logistics of collecting, tracking and disposing of recalled goods.",Operations
Virtual machine snapshot storage full [TKT-5593],The virtual machine snapshot storage volume is at 97 percent capacity. Old snapshots need to be reviewed and deleted to prevent system failures.,IT Support
Staff augmentation request [TKT-5450],A department experiencing a temporary workload spike is requesting 4 contract staff for a 2-month period to manage project delivery without permanent headcount.,HR
HR helpdesk response time complaint [TKT-5265],Employees are complaining that HR queries submitted through the internal helpdesk are taking more than 5 days to receive a response. Escalation needed.,HR
Employee referral program update [TKT-5362],HR is updating the employee referral program terms and needs to communicate the new bonus amounts and eligibility criteria to all staff.,HR
Safety incident near miss report [TKT-5450],A near-miss safety incident occurred in the warehouse when a stack of goods nearly fell on a worker. Formal incident report and safety review required.,Operations
Laptop battery draining too fast [TKT-5642],Employee's laptop battery that previously lasted 8 hours is now depleting in under 2 hours. No change in usage patterns. Battery health check needed.,IT Support
Approval for AI tool procurement [TKT-5439],Technology team has evaluated three AI-powered productivity tools and recommends one for company-wide adoption. Requesting management approval for the purchase.,Manager
Product expiry date already passed on delivery [TKT-5424],Customer received a consumable product and noticed the expiry date on the package had already passed before the delivery date.,Customer Support
Statutory payment confirmation needed [TKT-5327],Finance team needs written confirmation from the bank that a statutory payment to the government authority was processed successfully and on time.,Finance
Audit committee presentation preparation [TKT-5600],"Finance is preparing the quarterly presentation for the audit committee covering financial performance, risk areas and compliance status for review.",Finance
Quarter-end closing deadline missed by department [TKT-5046],A department failed to submit their accrual information by the quarter-end closing deadline causing the financial statements to be delayed.,Finance
Vendor shortlisting for new service [TKT-5097],Procurement team has shortlisted three vendors for a new service. Requesting management review of evaluation scorecard and decision on preferred vendor.,Manager
Asset impairment review required [TKT-5661],One of the company's major assets may have declined in value due to market changes. An impairment review and possible write-down needs to be initiated.,Finance
Termination letter issuance [TKT-5667],"Following a disciplinary process that concluded with a termination decision, HR needs to prepare and issue the formal termination letter to the employee.",HR
Client onboarding process improvement [TKT-5563],Multiple clients have complained about the complexity of the onboarding process. Manager is requesting approval to redesign the process with a dedicated task force.,Manager
Customer advance receipt accounting [TKT-5237],Sales team received a large advance payment from a new customer. Finance needs guidance on how to record and report this in the financial statements.,Finance
Moonlighting policy clarification [TKT-5075],An employee has asked HR for clarification on whether they are permitted to take on freelance work outside of office hours under the current employment contract.,HR
Payroll cut-off date reminder [TKT-5172],"HR is reminding all managers that any salary-related changes including promotions, transfers and terminations must be submitted before the payroll cut-off date.",HR
Charitable donation tax deduction query [TKT-5115],Company made a donation to a registered charity last month. Finance needs to confirm the correct tax deduction section under which to claim the exemption.,Finance
Network monitoring tool false alerts,"The network monitoring tool is generating a high volume of false positive alerts, causing the IT team to miss genuine issues in the noise.",IT Support
Team skill development plan approval [TKT-5042],Manager has prepared a 12-month skill development plan for their team and is requesting senior management approval before communicating it to employees.,Manager
Brand ambassador program launch [TKT-5306],Marketing has proposed an employee brand ambassador program for social media. Requesting management approval and guidelines before inviting employees to participate.,Manager
Approval to promote from within [TKT-5327],Manager recommending an internal candidate for a senior position rather than external hiring. Requesting approval to fast-track the internal promotion process.,Manager
Legacy data migration from old server [TKT-5551],An old physical server being decommissioned holds 5 years of archived project data. All data must be migrated to the new storage system before shutdown.,IT Support
API access token expired [TKT-5451],A developer's API access token for an internal service has expired. Requests are returning 401 unauthorized errors and token renewal process is unclear.,IT Support
New employee orientation session scheduling [TKT-5041],"Five new employees are joining next week and their orientation sessions, including office tours, policy briefings and team introductions, need to be scheduled.",HR
Quarterly VAT return preparation [TKT-5657],Finance team is requesting supporting data from all departments for the quarterly VAT return which is due to be filed within the next 10 working days.,Finance
Emergency exit blocked by stored goods [TKT-5639],"During a routine inspection, an emergency exit on the ground floor was found to be blocked by stored pallets. Immediate removal required for safety compliance.",Operations
Staff welfare expense approval [TKT-5418],"Department is requesting finance approval for INR 12,000 in staff welfare expenses for a team celebration following the successful project completion.",Finance
IP address conflict on network [TKT-5658],Two devices on the local network have been assigned the same static IP address causing intermittent connectivity loss for both. DHCP configuration review needed.,IT Support
Approval for external legal counsel [TKT-5383],An emerging contractual dispute with a client may require specialized legal advice beyond the company's internal legal team capabilities. External counsel approval needed.,Manager
Vendor payment on credit hold [TKT-5584],Procurement placed a vendor on credit hold due to quality issues. Finance needs to confirm whether pending invoices from this vendor should still be paid.,Finance
Staff augmentation request [TKT-5410],A department experiencing a temporary workload spike is requesting 4 contract staff for a 2-month period to manage project delivery without permanent headcount.,HR
Corporate Wi-Fi not connecting on new device [TKT-5283],A newly issued tablet cannot connect to the corporate wireless network. The device can see the network but authentication fails repeatedly.,IT Support
Promotion announcement communication [TKT-5536],Three employees have been promoted and HR needs to coordinate with their managers to send formal announcement communications to their respective teams.,HR
Forklift operator certification expired,The certification for two forklift operators in the warehouse has expired. They cannot legally operate the equipment until recertification is completed.,Operations
Account blocked after chargeback [TKT-5429],Customer raised a legitimate chargeback with their bank for an undelivered item but their account was suspended as a result. Requesting reinstatement.,Customer Support
Internal loan between subsidiaries [TKT-5279],Parent company needs to provide an internal loan to a subsidiary to fund working capital. Finance needs to prepare the intercompany loan documentation.,Finance
Approval for overtime during critical period [TKT-5258],"Due to an unexpected surge in demand, manager is requesting pre-approval for overtime work for the entire team for the next three weekends.",Manager
Product expiry date already passed on delivery [TKT-5504],Customer received a consumable product and noticed the expiry date on the package had already passed before the delivery date.,Customer Support
Time tracking system not recording correctly [TKT-5384],Employee's time entries in the project time tracking system are not being saved. The form submits successfully but entries disappear after page refresh.,IT Support
Packing material quality failure [TKT-5271],Incoming packing materials from the current supplier have failed quality checks. Operations needs to decide whether to reject the batch or use it with increased monitoring.,Operations
Annual leave year-end carryover policy update [TKT-5152],HR is reviewing and updating the annual leave carryover policy for the new year and needs to communicate the changes to all employees with examples.,HR
Monthly closing checklist completion [TKT-5396],Finance manager is following up with team members on outstanding items in the month-end closing checklist that are due by end of business today.,Finance
Internship offer letter issuance [TKT-5575],"Eight selected interns for the summer program need to receive formal offer letters with internship terms, stipend details and joining instructions.",HR
Loading dock slip and fall hazard [TKT-5384],Water from an overnight rain has pooled on the loading dock floor. An employee slipped this morning. Immediate hazard remediation is required.,Operations
Vendor payment on credit hold [TKT-5624],Procurement placed a vendor on credit hold due to quality issues. Finance needs to confirm whether pending invoices from this vendor should still be paid.,Finance
Accounting software login not working [TKT-5564],Finance team member is unable to log into the accounting software since their password was reset. IT-generated temporary password is also not working.,Finance
Conditional access policy blocking remote login [TKT-5303],A new conditional access policy deployed last week is preventing employees from logging in from home even with valid VPN connections. Policy needs review.,IT Support
Rebate from vendor not accounted for [TKT-5453],"A rebate of INR 28,000 promised by a vendor at the end of the quarter was not recorded in the books. Vendor confirmed the rebate was issued.",Finance
Referral link not generating discount [TKT-5093],Customer shared their referral link with friends who signed up but neither the customer nor their friends received the promised referral discount.,Customer Support
Contractor to employee reclassification [TKT-5139],A contractor who has worked exclusively for the company for 18 months may need to be reclassified as a permanent employee to comply with labor law.,HR
